sample,strandedness,replicate,condition
DFCI5.S1.L1.C4,auto,1,S1
DFCI5.S2.L1.C4,auto,1,S2
DFCI5.S3.L1.C4,auto,1,S3
DFCI5.S4.L1.C4,auto,1,S4
DFCI5.S4.L2.C4,auto,2,S4
DFCI5.S5.L1.C4,auto,1,S5
DFCI5.S5.L2.C4,auto,2,S5
DFCI5.S5.L3.C4,auto,3,S5
DFCI5.S5.L4.C4,auto,4,S5
DFCI5.S5.L5.C4,auto,5,S5
samtools_stats/DFCI5.S1.L1.C4,,,
samtools_stats/DFCI5.S2.L1.C4,,,
samtools_stats/DFCI5.S3.L1.C4,,,
samtools_stats/DFCI5.S4.L1.C4,,,
samtools_stats/DFCI5.S4.L2.C4,,,
samtools_stats/DFCI5.S5.L1.C4,,,
samtools_stats/DFCI5.S5.L2.C4,,,
samtools_stats/DFCI5.S5.L3.C4,,,
samtools_stats/DFCI5.S5.L4.C4,,,
samtools_stats/DFCI5.S5.L5.C4,,,
